,PD,PY,ND,NONE
1,1,0,0,0
2,1,0,0,0
3,0.970873786,0.029126214,0,0
4,1,0,0,0
5,1,0,0,0
6,0.913043478,0,0.043478261,0.043478261
7,0.805128205,0,0.194871795,0
8,0.887573964,0,0.076923077,0.035502959
9,0.835106383,0,0.10106383,0.063829787
10,0.901515152,0,0.098484848,0
11,0.853658537,0,0.048780488,0.097560976
12,0.952,0,0,0.048
13,0.776785714,0,0,0.223214286
14,0.44,0,0.12,0.44
15,0.468085106,0,0.138297872,0.393617021
16,0.413333333,0,0.173333333,0.413333333
17,0.607142857,0,0,0.392857143
18,0.637681159,0,0.094202899,0.268115942
19,0.68627451,0,0.058823529,0.254901961
20,0.899159664,0,0.100840336,0
21,0.874125874,0,0.125874126,0
22,0.685185185,0,0.064814815,0.25
23,0.707317073,0,0.195121951,0.097560976
24,0.899159664,0,0.050420168,0.050420168
25,0.958333333,0,0,0.041666667
26,1,0,0,0
27,0.8,0,0,0.2
28,0.962732919,0,0,0.037267081
29,0.752,0,0.104,0.144
30,0.728395062,0.117283951,0.037037037,0.117283951
31,0.873239437,0.042253521,0.084507042,0
32,0.75974026,0.201298701,0.038961039,0
33,0.830357143,0,0.116071429,0.053571429
34,0.653543307,0,0.149606299,0.196850394
35,0.68115942,0.094202899,0.043478261,0.18115942
36,0.803680982,0.116564417,0,0.079754601
37,0.856060606,0,0.045454545,0.098484848
38,0.704761905,0.057142857,0.123809524,0.114285714
39,0.703703704,0,0.12037037,0.175925926
40,0.523364486,0,0.177570093,0.299065421
41,0.848,0,0.152,0
42,0.903225806,0.048387097,0,0.048387097
43,0.462365591,0,0.333333333,0.204301075
44,0.751677852,0,0.208053691,0.040268456
45,0.704697987,0,0.127516779,0.167785235
46,0.839285714,0,0,0.160714286
47,0.92,0,0.04,0.04
48,0.548387097,0,0.25,0.201612903
49,1,0,0,0
50,1,0,0,0
51,0.680672269,0,0,0.319327731
52,1,0,0,0
53,0.741258741,0,0.041958042,0.216783217
54,0.75,0.073863636,0,0.176136364
55,0.898305085,0.050847458,0.050847458,0
56,0.926136364,0.073863636,0,0
57,0.75,0.048387097,0.201612903,0
58,0.737288136,0,0.050847458,0.211864407
59,0.768115942,0,0.043478261,0.188405797
60,0.839378238,0.031088083,0,0.129533679
61,0.773006135,0,0.036809816,0.190184049
62,0.648,0,0.304,0.048
63,0.521008403,0,0.109243697,0.369747899
64,0.39516129,0,0.25,0.35483871
65,0.776785714,0.053571429,0.169642857,0
66,0.873333333,0.126666667,0,0
67,0.74796748,0,0.203252033,0.048780488
68,0.81884058,0,0.18115942,0
69,0.586956522,0,0.137681159,0.275362319
70,0.716814159,0,0,0.283185841
71,0.912408759,0,0,0.087591241
72,0.580952381,0,0.123809524,0.295238095
73,0.840764331,0,0.159235669,0
74,0.881097561,0,0.100609756,0.018292683
75,0.923076923,0.076923077,0,0
76,0.833333333,0,0.113333333,0.053333333
77,0.891666667,0,0.108333333,0
78,1,0,0,0
79,0.899441341,0.033519553,0.033519553,0.033519553
80,0.885714286,0.057142857,0,0.057142857
81,0.954372624,0.045627376,0,0
82,1,0,0,0
83,0.779761905,0.035714286,0.071428571,0.113095238
84,0.936507937,0.031746032,0.031746032,0
85,0.731707317,0,0.079268293,0.18902439
86,0.879245283,0.049056604,0,0.071698113
87,0.845,0,0.155,0
88,1,0,0,0
89,0.611428571,0.034285714,0.285714286,0.068571429
90,0.736111111,0,0.131944444,0.131944444
91,0.702380952,0,0.148809524,0.148809524
92,0.899598394,0,0,0.100401606
93,0.869747899,0,0.025210084,0.105042017
94,0.73006135,0,0.233128834,0.036809816
95,0.645833333,0,0.090277778,0.263888889
96,0.535714286,0,0.321428571,0.142857143
97,0.937823834,0,0.031088083,0.031088083
98,1,0,0,0
99,0.637931034,0,0.143678161,0.218390805
100,0.767195767,0,0.201058201,0.031746032
101,0.477419355,0.038709677,0.238709677,0.24516129
102,0.716129032,0,0.161290323,0.122580645
103,0.870466321,0,0.067357513,0.062176166
104,0.748571429,0.034285714,0.074285714,0.142857143
105,0.773722628,0,0.182481752,0.04379562
106,0.96,0,0.04,0
107,0.942028986,0.028985507,0.028985507,0
108,0.964285714,0,0.035714286,0
109,1,0,0,0
110,0.956521739,0,0.043478261,0
111,0.602739726,0,0.267123288,0.130136986
112,0.901515152,0,0,0.098484848
113,0.724637681,0,0.137681159,0.137681159
114,0.881987578,0,0.037267081,0.080745342
115,0.521978022,0,0.478021978,0
116,0.887573964,0,0.076923077,0.035502959
117,0.434482759,0,0.565517241,0
118,0.58,0,0.293333333,0.126666667
119,0.517647059,0.035294118,0.294117647,0.152941176
120,0.883435583,0.079754601,0,0.036809816
121,0.751677852,0.040268456,0.080536913,0.127516779
122,0.484536082,0.128865979,0.324742268,0.06185567
123,0.401069519,0.101604278,0.363636364,0.13368984
124,0.396135266,0.028985507,0.483091787,0.09178744
125,0.313432836,0.313432836,0.373134328,0
126,0.945205479,0,0.054794521,0
127,0.558441558,0,0.24025974,0.201298701
128,0.333333333,0.035714286,0.630952381,0
129,0.211267606,0.042253521,0.612676056,0.133802817
130,0.480769231,0.038461538,0.403846154,0.076923077
131,0.560509554,0.082802548,0.280254777,0.076433121
132,0.433566434,0,0.34965035,0.216783217
133,0.447154472,0.25203252,0.25203252,0.048780488
134,0.520833333,0.041666667,0.354166667,0.083333333
135,0.916083916,0,0.083916084,0
136,0.61878453,0,0.38121547,0
